Job Title,Company Name,Location,Posting Date,Job URL,Company URL,Salary,Tags,Job Type,Job ID
Dental Network Pricing Consultant,Guardian Life,"USA, Bethlehem PA, Boston MA, Holmdel NJ",2d ago,https://www.actuarylist.com/actuarial-jobs/26587-guardian-life,https://www.actuarylist.com/actuarial-employers/guardian-life,$97k-$159k,"Senior Actuary, Health, Modelling, Pricing",Full-Time,26587
Predictive Modeling Specialist,Winward Risk Managers,"USA, Boca Raton FL, Remote",16d ago,https://www.actuarylist.com/actuarial-jobs/9999-predictive-modeling-specialist-winward,https://www.actuarylist.com/actuarial-employers/windward-risk-managers,Not specified,"Senior Actuary, Property & Casualty",Full-Time,9999
Senior Actuary (E&S P&C Pricing),Liberty Mutual,"USA, Boston MA, Remote",10h ago,https://www.actuarylist.com/actuarial-jobs/26754-liberty-mutual,https://www.actuarylist.com/actuarial-employers/liberty-mutual,$134k-$161k,"Actuary (Fellow), Property & Casualty",Full-Time,26754
Senior Actuary,MetLife,"Ireland, Hybrid",10h ago,https://www.actuarylist.com/actuarial-jobs/26727-metlife,https://www.actuarylist.com/actuarial-employers/metlife,Not specified,"Actuary (Fellow), Senior Actuary, Life",Full-Time,26727
BPA Actuarial Analyst,Canada Life,"UK, Potters Bar",10h ago,https://www.actuarylist.com/actuarial-jobs/26725-canada-life,https://www.actuarylist.com/actuarial-employers/canada-life,Not specified,"Analyst (Entry-Level), Analyst (Experienced)",Full-Time,26725
Actuary,Liberty Mutual,"USA, Boston MA, Remote",10h ago,https://www.actuarylist.com/actuarial-jobs/26716-liberty-mutual,https://www.actuarylist.com/actuarial-employers/liberty-mutual,$117k-$221k,"Actuary (Associate), Actuary (Fellow)",Full-Time,26716
Casualty Reinsurance Analytics Actuary,QBE,"USA, New York NY",10h ago,https://www.actuarylist.com/actuarial-jobs/26683-qbe,https://www.actuarylist.com/actuarial-employers/qbe,$225k-$338k,"Actuary (Fellow), Property & Casualty",Full-Time,26683
Senior Actuarial Analyst (Actuary),Swiss Re,"Malaysia, Kuala Lumpur",10h ago,https://www.actuarylist.com/actuarial-jobs/26680-swiss-re,https://www.actuarylist.com/actuarial-employers/swiss-re,Not specified,"Analyst (Experienced), Actuary (Fellow), Life",Full-Time,26680
Actuarial Consultant,MetLife,"Mexico, Hybrid",1d ago,https://www.actuarylist.com/actuarial-jobs/26647-metlife,https://www.actuarylist.com/actuarial-employers/metlife,Not specified,"Analyst (Entry-Level), Analyst (Experienced)",Full-Time,26647
Actuarial Lead,MetLife,"India, Noida",1d ago,https://www.actuarylist.com/actuarial-jobs/26641-metlife,https://www.actuarylist.com/actuarial-employers/metlife,Not specified,"Analyst (Experienced), Actuary (Associate)",Full-Time,26641
Calculations Actuary (Defined Benefit Pensions),Legal & General,"UK, Glasgow",1d ago,https://www.actuarylist.com/actuarial-jobs/26627-legal-general,https://www.actuarylist.com/actuarial-employers/legal-and-general,Not specified,"Actuary (Fellow), Life, Investments, Pensions",Full-Time,26627
Senior Manager Actuary (Pension),Deloitte,"UK, Birmingham, Leeds, London, Manchester",1d ago,https://www.actuarylist.com/actuarial-jobs/26624-deloitte,https://www.actuarylist.com/actuarial-employers/deloitte,Not specified,"Actuary (Fellow), Life, Pensions, Reporting",Full-Time,26624
Calculations Actuary (Defined Benefit Pensions),Legal & General,"UK, Hove",1d ago,https://www.actuarylist.com/actuarial-jobs/26610-legal-general,https://www.actuarylist.com/actuarial-employers/legal-and-general,Not specified,"Actuary (Fellow), Life, Investments, Pensions",Full-Time,26610
Pricing Actuary,Swiss Re,"India, Bangalore",1d ago,https://www.actuarylist.com/actuarial-jobs/26565-swiss-re,https://www.actuarylist.com/actuarial-employers/swiss-re,Not specified,"Actuary (Fellow), Property & Casualty",Full-Time,26565
Senior Pricing Actuary (Global Specialty),AIG,"UK, London",2d ago,https://www.actuarylist.com/actuarial-jobs/26520-aig,https://www.actuarylist.com/actuarial-employers/aig,Not specified,"Actuary (Fellow), Health",Full-Time,26520
Senior Actuarial Analyst,AIG,"USA, Atlanta GA, New York NY",2d ago,https://www.actuarylist.com/actuarial-jobs/26456-aig,https://www.actuarylist.com/actuarial-employers/aig,$82k-$100k,"Analyst (Experienced), Health",Full-Time,26456
Senior Analyst Corporate Actuarial (P&C),Swiss Re,"India, Bangalore",2d ago,https://www.actuarylist.com/actuarial-jobs/26454-swiss-re,https://www.actuarylist.com/actuarial-employers/swiss-re,Not specified,"Analyst (Experienced), Actuary (Associate)",Full-Time,26454
Actuary,Liberty Mutual,"USA, Boston MA, Remote",3d ago,https://www.actuarylist.com/actuarial-jobs/26388-liberty-mutual,https://www.actuarylist.com/actuarial-employers/liberty-mutual,$117k-$221k,"Actuary (Associate), Actuary (Fellow)",Full-Time,26388
Actuarial Leadership Development Program (ALDP) Intern,Travelers,"USA, Saint Paul MN",3d ago,https://www.actuarylist.com/actuarial-jobs/26327-travelers,https://www.actuarylist.com/actuarial-employers/travelers,Not specified,"Intern, Life, Property & Casualty",Internship,26327
Actuarial Leadership Development Program (ALDP) Participant,Travelers,"USA, Saint Paul MN",3d ago,https://www.actuarylist.com/actuarial-jobs/26318-travelers,https://www.actuarylist.com/actuarial-employers/travelers,$72k-$119k,"Intern, Analyst (Entry-Level)",Internship,26318
Senior Pricing Actuary,Swiss Re,"UK, London",3d ago,https://www.actuarylist.com/actuarial-jobs/26290-swiss-re,https://www.actuarylist.com/actuarial-employers/swiss-re,Not specified,"Analyst (Experienced), Actuary (Fellow), Life",Full-Time,26290
Senior P&C Actuary (Hybrid),Swiss Re,"Germany, Munich",3d ago,https://www.actuarylist.com/actuarial-jobs/26289-swiss-re,https://www.actuarylist.com/actuarial-employers/swiss-re,€95k-€158k,"Actuary (Fellow), Health",Full-Time,26289
Healthcare Financial & Actuarial Director,WTW,"USA, Chicago IL, Minneapolis MN",4d ago,https://www.actuarylist.com/actuarial-jobs/26225-wtw,https://www.actuarylist.com/actuarial-employers/wtw,$140k-$185k,"Senior Actuary, Life, Health, Risk",Full-Time,26225
Senior Director Actuarial & Analytics (Select Auto & All Lines),Travelers,"USA, Saint Paul MN",6d ago,https://www.actuarylist.com/actuarial-jobs/26007-travelers,https://www.actuarylist.com/actuarial-employers/travelers,$143k-$235k,"Actuary (Associate), Senior Actuary, Life",Full-Time,26007
Corporate Actuarial Senior Analyst,Swiss Re,"India, Bangalore",6d ago,https://www.actuarylist.com/actuarial-jobs/25946-swiss-re,https://www.actuarylist.com/actuarial-employers/swiss-re,Not specified,"Analyst (Experienced), Actuary (Associate)",Full-Time,25946
